office_id	office_name	office_dy	cbdb_office_id	cbdb_office_name	match_type
0	刑部主事	清	86386	刑部主事	exact
1	户部主事广西司行走	清	82595	户部主事	partial
2	礼部主事	清	83726	礼部主事	exact
3	钦天监灵台郎	清	83874	灵台郎	partial
4	鸿胪寺额外序班	清	81256	额外	partial
5	户部主事湖广司行走	清	82595	户部主事	partial
6	户部主事湖广司行走	清	82595	户部主事	partial
7	户部主事	清	82595	户部主事	exact
8	刑部员外郞	清	86368	刑部员外郞	exact
10	翰林院日讲起居注官翰林院侍讲	清	82309	翰林院日讲起居注官	partial
11	翰林院日讲起居注官翰林院侍读	清	82309	翰林院日讲起居注官	partial
12	翰林院翰林院编修	清	82297	翰林院编修	partial
13	翰林院贵州正主考	清	87621	主考	partial
14	翰林院翰林院编修	清	82297	翰林院编修	partial
16	翰林院贵州正主考	清	87621	主考	partial
17	刑部员外郎衔主事河南司行走	清	86365	刑部员外郎	partial
18	刑部员外郎衔主事河南司行走	清	86365	刑部员外郎	partial
19	刑部主事河南司行走	清	86386	刑部主事	partial
20	刑部员外郎衔上学河南司行走	清	86365	刑部员外郎	partial
21	刑部员外郎衔主事很难司行走	清	86365	刑部员外郎	partial
22	刑部郎中云南司行走	清	86301	刑部郎中	partial
23	刑部郎中	清	86301	刑部郎中	exact
24	銮仪卫花翎侍卫	清	82636	花翎侍卫	partial
25	京营巡补营二司把总	清	80072	把总	partial
26	刑部司狱	清	86341	刑部司狱	exact
27	总理海军事务把总充正矶弁	清	80072	把总	partial
28	总理海军事务把总充正砲弁	清	80072	把总	partial
29	总理海军事务把总充正砲弁	清	80072	把总	partial
30	太医院从九品医士	清	80814	从九品	partial
34	光禄寺署正	清	82151	光禄寺署正	exact
35	光禄寺署正大官署行走	清	82151	光禄寺署正	partial
36	銮仪卫蓝翎侍卫	清	83582	蓝翎侍卫	partial
37	銮仪卫御前侍卫	清	87078	御前侍卫	partial
38	銮仪卫三等侍卫	清	84675	三等侍卫	partial
39	銮仪卫蓝翎侍卫	清	83582	蓝翎侍卫	partial
40	光禄寺良醢署署正	清	82138	光禄寺	partial
41	光禄寺珍馐署署正	清	82138	光禄寺	partial
42	光禄寺署正	清	82151	光禄寺署正	exact
43	户部员外郎	清	82581	户部员外郎	exact
44	礼部笔帖式	清	83666	礼部笔帖式	exact
45	户部员外郎山西司行走	清	82581	户部员外郎	partial
46	内阁中书	清	84215	内阁中书	exact
47	内阁中书	清	84215	内阁中书	exact
48	内阁中书	清	84215	内阁中书	exact
49	国子监八旗官学教习	清	80037	八旗官学教习	partial
50	户部主事福建司兼陕西司行走	清	82595	户部主事	partial
51	户部主事福建司兼陕西司行走	清	82595	户部主事	partial
52	户部主事福建兼陕西司行走	清	82595	户部主事	partial
53	户部主事福建司行走	清	82595	户部主事	partial
54	户部郎中	清	82512	户部郎中	exact
55	户部郎中	清	82512	户部郎中	exact
56	户部主事浙江司行走	清	82595	户部主事	partial
57	户部主事浙江司行走	清	82595	户部主事	partial
58	刑部郎中贵州司行走	清	86301	刑部郎中	partial
59	翰林院上书房行走	清	86424	行走	partial
60	大理寺评事	清	80845	大理寺	partial
61	提督管理江南全省塘务	清	85394	提督	partial
63	陆军部司长陆军军法协都统	清	81045	都统	partial
65	陆军部司长陆军军法正参领	清	87407	正参领	partial
66	度支部主事	清	87626	主事	partial
67	度支部主事	清	87626	主事	partial
69	户部主事	清	82595	户部主事	exact
71	户部主事	清	82595	户部主事	exact
74	度支部主事	清	87626	主事	partial
76	户部主事	清	82595	户部主事	exact
77	刑部七品小京官陕西司行走	清	86307	刑部七品小京官	partial
78	都察院掌陕西道监察御史	清	80920	道监察御史	partial
79	刑部主事陕西司行走	清	86386	刑部主事	partial
80	邢部七品小京官陕西司行走	清	84436	七品小京官	partial
81	刑部员外郎	清	86365	刑部员外郎	exact
82	刑部郎中	清	86301	刑部郎中	exact
84	銮仪卫蓝翎侍卫癸未科	清	83582	蓝翎侍卫	partial
85	御前侍卫蓝翎侍卫	清	83582	蓝翎侍卫	partial
86	内阁额外中书舍人	清	81283	额外中书	partial
87	内阁额外中书舍人	清	81283	额外中书	partial
88	吏部主事	清	83812	吏部主事	exact
89	吏部主事	清	83812	吏部主事	exact
91	会典馆吏部员外郎	清	83807	吏部员外郎	partial
92	会典馆吏部员外郎	清	83807	吏部员外郎	partial
93	会典馆吏部候补主事	清	87626	候补主事	partial
94	吏部掌文选司印员外郎	清	87297	掌文选司印	partial
95	吏部掌文选司印郎中	清	87297	掌文选司印	partial
96	会典馆吏部候补主事	清	87626	候补主事	partial
97	吏部郎中	清	83767	吏部郎中	exact
98	内阁诰敕撰文中书舍人兼旧太仓监督	清	87576	中书舍人	partial
99	京师步军统领巡捕五营左哨千总	清	80495	步军统领	partial
100	京师步军统领巡捕五营左哨千总	清	80495	步军统领	partial
101	光禄寺大官署署正	清	80827	大官署署正	partial
102	直隶省督标督标右营游击	清	81135	督标右营游击	partial
103	通政司额外知事	清	81256	额外	partial
104	兵部员外郎武选司行走	清	80416	兵部员外郎	partial
105	兵部员外郎	清	80416	兵部员外郎	exact
106	工部郎中都水司行走	清	81035	都水司行走	partial
107	工部员外郞屯田司行走	清	85146	司行走	partial
108	工部员外郎屯田司行走	清	81770	工部员外郎	partial
109	内阁额外中书舍人	清	81283	额外中书	partial
110	翰林院待诏	清	82299	翰林院待诏	exact
111	翰林院待诏	清	82299	翰林院待诏	exact
112	邮傅部七品小京官	清	84436	七品小京官	partial
113	邮傅部学习七品小京官	清	84436	七品小京官	partial
114	刑部员外郎衔主事江西司行走	清	86365	刑部员外郎	partial
115	刑部主事江西司行走	清	86386	刑部主事	partial
116	刑部员外郞衔主事江西司行走	清	86368	刑部员外郞	partial
117	通政司二品顶戴员外郎升衔额外知事	清	87111	员外郎	partial
118	通政司二品衔员外郎衔额外经历	清	87116	员外郎衔	partial
119	民政部员外郎	清	87111	员外郎	partial
120	都察院特授副指挥	清	81624	副指挥	partial
124	翰林院翰林院庶吉士	清	82315	翰林院庶吉士	partial
125	翰林院翰林院庶吉士	清	82315	翰林院庶吉士	partial
126	刑部赏戴花翎郎中江苏司行走	清	85146	司行走	partial
127	刑部员外郎	清	86365	刑部员外郎	exact
132	鸿胪寺序班	清	82433	鸿胪寺序班	exact
133	兵部兵部差官	清	80358	兵部差官	partial
134	翰林院教习庶吉士	清	82306	翰林院教习庶吉士	exact
135	资政院协理资政院开办事务候补侍郎	清	84951	候补侍郎	partial
136	都察院掌云南道监察御史	清	80920	道监察御史	partial
137	都察院巡视东城掌云南道监察御史	清	80920	道监察御史	partial
138	弼德院弼德院顾问大臣	清	81847	顾问大臣	partial
139	都察院京畿道监察御史	清	80920	道监察御史	partial
140	都察院陕西道监察御史	清	80920	道监察御史	partial
141	都察院浙江道监察御史	清	80920	道监察御史	partial
144	民政部署八品录事	清	80079	署	partial
